Grammar Point,Meaning,Formation,Example (Japanese),Example (Romaji),Example (English),JLPT Level
～だろう (〜darou),"Express probability, likelihood or certainty; 'probably', 'maybe', 'I think'.","Verb-casual + だろう, い-Adjective (drop い) + だろう, な-Adjective + だろう, Noun + だろう",明日は晴れるだろう。,Ashita wa hareru darou.,It will probably be sunny tomorrow.,JLPT N4
～っていう (〜tte iu),"Used to quote, define, or specify a noun.",Noun/Adjective/Verb + っていう + Noun,ピザっていう料理が大好きです。,Piza tte iu ryouri ga daisuki desu.,I love the dish called pizza.,JLPT N4
～で (〜de),"Indicates the means, method, or place.",Noun + ～で,私は自転車で学校に行きます。,Watashi wa jitensha de gakkou ni ikimasu.,I go to school by bicycle.,JLPT N4
～でしょう (〜deshou),"A conjecture or probability; 'probably', 'I think', 'it seems'.","Verb-ますstem + でしょう, い-Adjective + でしょう, な-Adjective + でしょう, Noun + でしょう",明日は晴れでしょう。,Ashita wa hare deshou.,It will probably be sunny tomorrow.,JLPT N4
～てはいけない (〜te wa ikenai),"Expresses prohibition; 'must not', 'cannot'.",Verb-て-form + はいけない,公園でたばこを吸ってはいけない。,Kouen de tabako o sutte wa ikenai.,You must not smoke in the park.,JLPT N4
～てもいい (〜temo ii),"To give or ask permission; 'it's okay to', 'may', 'can'.",Verb-て form + もいい,ここで写真を撮ってもいいですか。,Koko de shashin wo tottemo ii desu ka?,Is it okay to take a photo here?,JLPT N4
～ても/でも (〜te mo/demo),Expresses 'even if' or 'even though'; used to convey contradiction or contrast.,"Verb-て-form + も, い-Adjective (-い) + くても, な-Adjective + でも, Noun + でも",雨が降っても、学校に行きます。,"Ame ga futte mo, gakkou ni ikimasu.","Even if it rains, I will go to school.",JLPT N4
～といい (〜to ii),"Express a wish or hope; 'I hope', 'it would be good if'.","Verb-casual + といい, い-Adjective + といい, な-Adjective + だといい, Noun + だといい",明日晴れるといいね。,Ashita hareru to ii ne.,I hope it will be sunny tomorrow.,JLPT N4
～という (〜to iu) Noun,Used to define or explain a noun more specifically.,"Noun + という + Noun, な-Adjective + という + Noun, Adjectival Verb + という + Noun",彼は日本語が流暢なアメリカ人という人です。,Kare wa nihongo ga ryuuchou na amerikajin to iu hito desu.,He is an American who speaks fluent Japanese.,JLPT N4
どういう Noun (dou iu Noun),"Asking for clarification or more information about a noun; 'what kind of', 'what sort of'.",どういう + Noun,どういう仕事をしていますか？,Dou iu shigoto wo shite imasu ka?,What kind of work do you do?,JLPT N4
～と思う (〜to omou),"Express one's thoughts or opinions; 'I think', 'I believe'.","Verb-casual + と思う, い-Adjective + と思う, な-Adjective + だと思う, Noun + だと思う",明日晴れると思います。,Ashita hareru to omoimasu.,I think it will be sunny tomorrow.,JLPT N4
～という (〜to iu),"Used to quote, express hearsay or define something.","Verb-casual + という, い-Adjective + という, な-Adjective + という, Noun + という",彼は「好きだ」と言った。,Kare wa 'suki da' to itta.,He said 'I like you'.,JLPT N4
～ないといけない (〜nai to ikenai),"Express a necessity; 'must', 'have to', 'need to'.",Verb-negative + といけない,明日試験があるから、今夜勉強しないといけない。,"Ashita shiken ga aru kara, kon'ya benkyou shinai to ikenai.","I have an exam tomorrow, so I have to study tonight.",JLPT N4
～なきゃいけない (〜nakya ikenai),"Express a necessity or obligation; 'must', 'have to'.",Verb-casual (negative form without い) + なきゃいけない,明日までに宿題を終わらなきゃいけない。,Ashita made ni shukudai wo owaranakya ikenai.,I have to finish my homework by tomorrow.,JLPT N4
～なくちゃいけない (〜naku cha ikenai),"Express the obligation to do something; 'have to', 'must', 'need to'.",Verb-ない form (-ない ending is dropped) + なくちゃいけない,仕事に行かなくちゃいけないので、早起きしなければなりません。,"Shigoto ni ikanakucha ikenai node, hayaoki shinakereba narimasen.","I have to go to work, so I must wake up early.",JLPT N4
～なくてはいけない (〜nakute wa ikenai),"Expresses the necessity or obligation; 'must', 'have to'.",Verb-negative form + なくてはいけない,宿題をしなくてはいけない。,Shukudai o shinakute wa ikenai.,I have to do my homework.,JLPT N4
～なくてもいい (〜nakutemo ii),"Expresses that something is not necessary to do; 'it's okay if not', 'don't have to'.",Verb-ない-form + てもいい,コーヒーは飲まなくてもいいです。,Koohii wa nomanakutemo ii desu.,You don't have to drink the coffee.,JLPT N4
～なければ ならない (〜nakereba naranai),"Express obligation or necessity; 'must', 'have to', 'need to'.",Verb-ない form + なければ ならない,宿題をやらなければならない。,Shukudai wo yaranakereba naranai.,I have to do my homework.,JLPT N4
～に (〜ni),"Indicates direction, destination, purpose, or time.",Noun + に,母は私にケーキを作りました。,Haha wa watashi ni keiki wo tsukurimashita.,My mother made a cake for me.,JLPT N4
～ので (〜node),"Express a reason or a cause for something; 'because', 'since', 'so'.","Verb-casual + ので, い-Adjective + ので, な-Adjective + なので, Noun + なので",明日試験があるので、今晩勉強します。,"Ashita shiken ga aru node, konban benkyou shimasu.",I will study tonight because there is a test tomorrow.,JLPT N4
～のです (〜no desu),"Provides an explanation or gives background information; 'the fact is', 'the reason is', 'actually'.","Verb-casual + のです, い-Adjective + のです, な-Adjective + なのです, Noun + なのです",この本は難しいのです。,Kono hon wa muzukashii no desu.,"This book is difficult, you see.",JLPT N4
～のに (〜no ni),"Used to express contrast between expectation and reality, or to indicate a purpose for doing something","Verb-casual + のに, い-Adjective + のに, な-Adjective + なのに, Noun + なのに",遅刻したのに、先生は怒らなかった。,"Chikoku shita no ni, sensei wa okoranakatta.","Even though I was late, the teacher didn't get angry.",JLPT N4
～ばいい (〜ba ii),"Express a suggestion or advice; 'should', 'it would be good if'.","Verb-ば-form + いい, い-Adjective + ければいい, な-Adjective + であればいい, Noun + であればいい",もっと勉強すればいい。,Motto benkyou sureba ii.,You should study more.,JLPT N4
～まで (〜made),"Indicates extent, 'until', 'up to', 'as far as', 'even'.","Verb + まで, い-Adjective + まで, な-Adjective + まで, Noun + まで",仕事が終わるまで待っています。,Shigoto ga owaru made matteimasu.,I will wait until work is finished.,JLPT N4
～までに (〜made ni),Express 'by' or 'before' a certain time or action.,"Verb-casual + までに, Noun + までに, Time expression + までに",明日の朝８時までに起きてください。,Ashita no asa hachiji made ni okite kudasai.,Please wake up by 8 a.m. tomorrow.,JLPT N4
～まま (〜mama),"Express 'as it is', 'while' or 'unchanged state'.","Verb-てform + いる+ まま, Adjective (い & な) + まま, Noun + のまま",ドアを開けたまま出かけてしまった。,Doa o aketa mama dekakete shimatta.,I accidentally left with the door open.,JLPT N4
～みたいだ (〜mitai da),"Indicates similarity, resemblance or 'like'; 'it seems', 'appears', 'looks like'.","Verb-casual + みたいだ, い-Adjective + みたいだ, な-Adjective + みたいだ, Noun + みたいだ",彼女が病気のみたいだ。,Kanojo ga byouki no mitai da.,She seems to be sick.,JLPT N4
～も (〜mo),"Indicates 'also', 'too', or 'as well'.","Verb-casual + も, い-Adjective + も, な-Adjective + も, Noun + も",私もお寿司が好きです。,Watashi mo osushi ga suki desu.,I also like sushi.,JLPT N4
～ようだ (〜you da),"Expresses appearance, similarity or inference; 'it seems', 'it looks like', 'it appears'.","Verb-て form + ようだ, い-Adjective (drop い) + ようだ, な-Adjective + のようだ, Noun + のようだ",彼は元気がないようだ。,Kare wa genki ga nai you da.,He seems to be lacking energy.,JLPT N4
～んです (〜n desu),"Provide an explanation or reason; 'it is that', 'the thing is', 'the reason is'.","Verb-casual + んです, い-Adjective + んです, な-Adjective + なんです, Noun + なんです",遅れたんですが、電車が遅れました。,"Okuretan desuga, densha ga okuremashita.",I was late because the train was delayed.,JLPT N4
文A。そのうえ 文B。,"Shows additional information; 'furthermore', 'besides', 'in addition'.",Sentence A + そのうえ + Sentence B + 。,このソフトウェアは使いやすい。そのうえ、価格も手ごろだ。,"Kono sofutouea wa tsukaiyasui. Sono ue, kakaku mo tegoro da.","This software is easy to use. Furthermore, the price is reasonable.",JLPT N4
文A。それで 文B (Bun A. Sorede Bun B),"Used to connect two sentences; 'So', 'That's why', 'Therefore'.",Sentence A。それで Sentence B。,今日は暑いです。それで、エアコンをつけました。,"Kyou wa atsui desu. Sorede, eakon wo tsukemashita.","It is hot today. So, I turned on the air conditioner.",JLPT N4
文A。それに 文B (Bun A. Soreni Bun B),"Express 'in addition to; besides,' used to include additional information.",Sentence A + それに + Sentence B,彼は頭がいい。それに、スポーツも得意だ。,"Kare wa atama ga ii. Soreni, supo-tsu mo tokui da.","He is smart. In addition, he is good at sports.",JLPT N4
文A。だから 文B (Bun A. Dakara Bun B),"Express reason or cause; 'because', 'so', 'therefore'.",Sentence A + だから + Sentence B,明日は試験だ。だから今日勉強しなければならない。,Ashita wa shiken da. Dakara kyou benkyou shinakereba naranai.,"Tomorrow is the exam, so I have to study today.",JLPT N4
A その上 B (A sono ue B),"Used to express 'in addition to', 'besides', or 'furthermore' when adding information or making a suggestion.",A [sentence/clause] + その上 + B [sentence/clause],彼は頭が良い。その上、スポーツも得意だ。,"Kare wa atama ga ii. Sono ue, supootsu mo tokui da.","He is smart. In addition, he is also good at sports.",JLPT N3
～うちに (〜uchi ni),"Express 'while', 'before', or 'during' a certain condition or situation.","Verb-てform + いる + うちに, い-Adjective + い + うちに, な-Adjective + な + うちに",若いうちに、いろいろな経験をしておくことが大切です。,"Wakai uchi ni, iroiro na keiken wo shite oku koto ga taisetsu desu.",It is important to have various experiences while you are young.,JLPT N3
～うとした (〜uto shita),"Express an action someone tried to do but couldn't; 'tried to', 'attempted to'.",Verb-う stem + とした,電話に出ようとしたが、相手は切ってしまった。,"Denwa ni deyou to shita ga, aite wa kitte shimatta.","I tried to answer the phone, but the other person hung up.",JLPT N3
～おかげで (〜okagede),"Expresses gratitude or shows a positive result due to a certain factor; 'thanks to', 'because of'.","Verb-casual + おかげで, い-Adjective + おかげで, な-Adjective + だおかげで, Noun + のおかげで",お母さんのおかげで、私は元気になりました。,"Okaasan no okagede, watashi wa genki ni narimashita.","Thanks to my mother, I became healthy.",JLPT N3
～かけ (〜kake),Expresses the meaning of being in the middle of doing something or of something being partway done.,Verb-ますstem + かけ,彼は食事を食べかけです。,Kare wa shokuji wo tabekake desu.,He is in the middle of eating his meal.,JLPT N3
～かなあ (〜kanaa),"Expressing uncertainty or a mild wish; 'I wonder', 'maybe'.","Verb-casual + かなあ, い-Adjective + かなあ, な-Adjective + だかなあ, Noun + だかなあ",明日晴れるかなあ。,Ashita hareru kanaa.,I wonder if it will be sunny tomorrow.,JLPT N3
～ないで (〜naide),Express 'without doing ~' or 'without ~ing'.,Verb-ない-form + で,会わないでその電話をかけました。,Awanai de sono denwa wo kakemashita.,I made the phone call without meeting them.,JLPT N3
～から～にかけて (〜kara 〜ni kakete),"Expresses a range of something, such as time or space; 'from...to', 'between'.","Noun (time, place, or measure) + から + Noun (time, place or measure) + にかけて",午前８時から午後５時にかけて働いています。,Gozen hachiji kara gogo goji ni kakete hataraiteru.,I work from 8 am to 5 pm.,JLPT N3
～かわりに (〜kawari ni),In place of; instead of; as a substitute for.,"Verb-casual + かわりに, い-Adjective + かわりに, な-Adjective + だかわりに, Noun + だかわりに",映画を見るかわりに、本を読んだ。,"Eiga wo miru kawari ni, hon wo yonda.","Instead of watching a movie, I read a book.",JLPT N3
～きり (〜kiri),"Expresses the idea of 'only', 'since', or 'after'.","Verb-past + きり, Verb-てform + きり (less common), Noun + きり",彼は出かけたきり帰ってきません。,Kare wa dekaketa kiri kaette kimasen.,He went out and hasn't come back since.,JLPT N3
～くせに (〜kuse ni),"Used to express criticism or disapproval; 'even though', 'despite', 'in spite of'.","Verb-casual + くせに, い-Adjective + くせに, な-Adjective + な/のくせに, Noun + のくせに",彼はお金持ちのくせに、ケチです。,"Kare wa okanemochi no kuse ni, kechi desu.","Even though he's rich, he's stingy.",JLPT N3
～くらい (〜kurai),"Expresses an approximate quantity or degree; 'about', 'approximately', or 'to the extent of'.","Verb-casual + くらい, い-Adjective + くらい, な-Adjective + くらい, Noun + くらい",１０分くらい待ちましょう。,Juppun kurai machimashou.,Let's wait for about 10 minutes.,JLPT N3
～くらい～は～ない (〜kurai 〜wa 〜nai),"Express the least one can do; 'at least', 'the least', 'no less than'.","Verb-casual (non-past) + くらい + は + Verb-casual (negative), Adjective (non-past) + くらい + は + Adjective (negative)",週に一度くらいはジムに行かないと。,Shuu ni ichido kurai wa jimu ni ikanai to.,I have to go to the gym at least once a week.,JLPT N3
～こそ (〜koso),"Emphasizes the importance or uniqueness of something or someone; 'precisely', 'exactly', 'it is...', 'of all...'.","Noun + こそ, (Verb-て + こそ)",今日こそ勉強しなければなりません。,Kyou koso benkyou shinakereba narimasen.,"Today, of all days, I must study.",JLPT N3
～こと (〜koto),Express an action in a nominal (noun-like) form or state fact or experience.,"Verb-plain form + こと, Verb-phrase in plain form + こと",日本語を話すことができます。,Nihongo wo hanasu koto ga dekimasu.,I can speak Japanese.,JLPT N3
～ことだ (〜koto da),"Expresses advice or recommendation; 'should', 'it is important', 'it is necessary'.","Verb-ますstem + ことだ, い-Adjective + ことだ, な-Adjective + なことだ, Noun + のことだ",毎日運動することだ。,Mainichi undou suru koto da.,You should exercise every day.,JLPT N3
～ことにしている (〜koto ni shite iru),"Express a personal rule or habit; 'I make it a rule to', 'I always make sure to'.",Verb-casual + ことにしている,毎日運動することにしている。,Mainichi undou suru koto ni shite iru.,I make it a rule to exercise every day.,JLPT N3
～ことになっている (〜koto ni natte iru),"Describes something that is decided, arranged, or expected.",Verb-dictionary form + ことになっている,この会社では、20時には仕事を終えることになっている。,"Kono kaisha de wa, 20-ji ni shigoto o oeru koto ni natte iru.","In this company, it is decided that work will end at 8 pm.",JLPT N3
～ことは…が (～koto wa... ga),"Indicates that while something may be true or valid, there is another contrasting point.","Verb-casual + ことは + が, い-Adjective + ことは + が, な-Adjective + だ + ことは + が, Noun + だ + ことは + が",この映画は面白いことは面白いが、ちょっと長すぎる。,"Kono eiga wa omoshiroi koto wa omoshiroi ga, chotto naga-sugiru.","This movie may be interesting, but it is a bit too long.",JLPT N3
～ことはない (〜koto wa nai),"Expresses that something doesn't need to be done or there's no occasion to do it; 'don't have to', 'not necessary'.","Verb-dictionary form + ことはない, い-Adjective + ことはない, な-Adjective + であることはない, Noun + であることはない",お金があるから、無理に貯金することはない。,"Okane ga aru kara, muri ni chokin suru koto wa nai.","Since I have enough money, there's no need to force myself to save.",JLPT N3
～さ (〜sa),"Express the degree or extent of a quality; '-ness', 'degree of'.","い-Adjective (drop い) + さ, な-Adjective + さ",この料理は辛さが強い。,Kono ryouri wa karasa ga tsuyoi.,The spiciness of this dish is strong.,JLPT N3
～さえ (～sae),"Emphasizes a specific item or action; 'even', 'if only', 'as long as'.","Noun + さえ, Verb-casual + さえ, い-Adjective + さえ, な-Adjective + でさえ",お金さえあれば、世界中を旅行できる。,"Okane sae areba, sekaijuu wo ryokou dekiru.","If only I have money, I can travel around the world.",JLPT N3
～しかない (〜shika nai),"Express the idea of 'only', 'no other option but', 'nothing else but'.","Verb-casual + しかない, い-Adjective + しかない, な-Adjective + しかない, Noun + しかない",この問題を解決する方法は一つしかない。,Kono mondai wo kaiketsu suru houhou wa hitotsu shika nai.,There is only one way to solve this problem.,JLPT N3
すこしも〜ない (sukoshimo~nai),"Express a negative state or action; 'not at all', 'none whatsoever'.",すこしも + Verb-negative,彼はすこしも悲しそうに見えません。,Kare wa sukoshimo kanashisou ni miemasen.,He doesn't look sad at all.,JLPT N3
～ずに (〜zu ni),Express 'without doing' something or 'not doing' something.,Verb-ない form (Remove ない) + ずに,彼は笑わずに話を聞いていました。,Kare wa warawazu ni hanashi wo kiiteimashita.,He was listening to the story without laughing.,JLPT N3
～せいで (〜sei de),Indicates that something or someone caused an unfortunate result.,"Verb-casual + せいで, い-Adjective + せいで, な-Adjective + なせいで, Noun + のせいで",雨のせいで試合が中止になりました。,Ame no sei de shiai ga chuushi ni narimashita.,The game was cancelled because of the rain.,JLPT N3
～せてください (〜sete kudasai),Requesting someone to allow or let you do something (causative request).,Verb-causative (させ) + て + ください,もう一度説明させてください。,Mou ichido setsumei sasete kudasai.,Please let me explain it once more.,JLPT N3
～そのために (〜sono tame ni),For the purpose of; because of; in order to.,Sentence/phrase 1 + そのために + Sentence/phrase 2,試験に合格するために、毎日勉強しています。そのために、早く寝て早く起きるようにしています。,"Shiken ni goukaku suru tame ni, mainichi benkyou shiteimasu. Sono tame ni, hayaku nete hayaku okiru you ni shiteimasu.","I study every day to pass the exam. For that reason, I go to bed early and wake up early.",JLPT N3
～その結果 (〜sono kekka),"Shows the result or consequence of a previous action or situation; 'as a result', 'in consequence'.",Situation/ACTION 1 + その結果 + RESULT,彼女は毎日練習した。その結果、試合に勝った。,"Kanojo wa mainichi renshuu shita. Sono kekka, shiai ni katta.","She practiced every day. As a result, she won the match.",JLPT N3
～それと～ (〜sore to〜),"Used to link two or more items; 'and', 'also'.",Item1 + それと + Item2,買い物に行くつもりです。それと、郵便局にも行かなくては。,"Kaimono ni iku tsumori desu. Sore to, yuubinkyoku ni mo ikanakute wa.","I plan to go shopping, and I also have to go to the post office.",JLPT N3
～？それとも～？ (～? sore tomo ～?),"Presents two alternatives or choices; 'or', 'either...or'.","Verb-casual + ？それとも + Verb-casual + ？, etc.",コーヒーを飲む？それとも紅茶を飲む？,Koohii o nomu? Sore tomo koucha o nomu?,Do you want to drink coffee? Or tea?,JLPT N3
～だけしか (～dake shika),"Emphasizes the scarcity or insufficiency of something; 'only', 'nothing but'.",Noun/Quantity + だけ + しか + Negative Verb,今日は1時間だけしか勉強できなかった。,Kyou wa ichijikan dake shika benkyou dekinakatta.,"Today, I could study for only one hour.",JLPT N3
だけど (dakedo),"Expresses a contrast or contradiction; 'but', 'however', 'even though'.","Sentence 1 + だけど + Sentence 2, or Sentence 1 + 。だけど、Sentence 2",試験に合格したけど、まだ勉強しなければならない。,"Shiken ni goukaku shita kedo, mada benkyou shinakereba naranai.","I passed the exam, but I still have to study.",JLPT N3
～たて (～tate),"Indicates an action that has just been completed; 'freshly', 'just'.",Verb-stem + たて,このパンは焼きたてで、まだ温かいです。,"Kono pan wa yakitate de, mada atatakai desu.",This bread is freshly baked and still warm.,JLPT N3
～たとえ～ても (〜tatoe〜temo),Express a condition with 'even if'; 'no matter how'.,"たとえ + Verb-casual + ても, たとえ + い-Adjective + くても, たとえ + な-Adjective + であっても, たとえ + Noun + であっても",たとえ雨が降っても、出かけましょう。,"Tatoe ame ga futte mo, dekakemashou.","Even if it rains, let's go out.",JLPT N3
～たところ (〜ta tokoro),"Expresses the result or outcome of an action; 'after', 'just when', 'upon'.",Verb-た form + ところ,宿題をしたところ、先生からもう一つ課題が出された。,"Shukudai wo shita tokoro, sensei kara mou hitotsu kadai ga dasareta.","Just when I finished my homework, the teacher gave us another assignment.",JLPT N3
～たとたん (〜ta totan),"Express the moment something happens; 'as soon as', 'the moment', 'the instant'.",Verb-た form + とたん,ドアを開けたとたん、猫が逃げ出した。,"Doa wo aketa totan, neko ga nigedashita.","As soon as I opened the door, the cat ran away.",JLPT N3
～たびに (〜tabi ni),Express 'every time' or 'whenever'.,"Verb-dictionary form + たびに, Noun + のたびに",彼女に会うたびに、心が弾む。,"Kanojo ni au tabi ni, kokoro ga hazumu.","Every time I meet her, my heart leaps.",JLPT N3
～だものだ (〜da mono da),"Express the reason or cause, often used to justify something.","Verb-casual + んだものだ, い-Adjective + んだものだ, な-Adjective + なんだものだ, Noun + なんだものだ (often with から as んだものだから)",疲れたんだものだから、休みたい。,"Tsukareta n da mono da kara, yasumitai.",I want to rest because I'm tired.,JLPT N3
～ちゃった (〜chatta),"Express an unintentional action or a regretful action; 'ended up doing', 'did accidentally'.",Verb-て/で form → ちゃった/じゃった (e.g. 食べてしまった → 食べちゃった),忘れ物をしちゃった。,Wasuremono o shichatta.,I accidentally left something behind.,JLPT N3
～ついでに (〜tsuide ni),"Do something while or after completing another action; 'while', 'by the way'.","Verb (dictionary or た-form) + ついでに, Noun + の + ついでに, or Verb-て form + いる + ついでに",買い物に行くついでに、郵便局で手紙を出しましょう。,"Kaimono ni iku tsuide ni, yuubinkyoku de tegami wo dashimashou.",Let's drop off a letter at the post office while going shopping.,JLPT N3
～っけ？ (〜kke?),Used to express that one is trying to recall some information.,"Verb-casual + っけ?, い-Adjective + かったっけ?, な-Adjective/Noun + だっけ?",彼は何時に来るっけ？,Kare wa nanji ni kuru kke?,What time is he coming again?,JLPT N3
～っぱい (〜ppai),"Expresses fullness or completeness; 'full', 'full of', 'filled with'.","Noun + で + いっぱい (Note: written as いっぱい, read as 'ippai')",部屋が荷物でいっぱいです。,Heya ga nimotsu de ippai desu.,The room is full of luggage.,JLPT N3
～っぱなし (〜ppanashi),Indicate a state where an action is left as is (unchanged or unfinished).,Verb-ますstem + っぱなし,窓を開けっぱなしにすると、虫が入ってくる。,"Mado o akeppanashi ni suru to, mushi ga haitte kuru.","If you leave the window open, bugs will come in.",JLPT N3
～つまり (〜tsumari),"Summarizing, restating, or clarifying a point: 'in other words', 'that is to say'.",Sentence A + つまり + Sentence B (rephrasing),彼は大学の教授です。つまり、専門家です。,"Kare wa daigaku no kyouju desu. Tsumari, senmonka desu.","He is a university professor. In other words, he is an expert.",JLPT N3
～つもりでした (〜tsumori deshita),"Expressing a past intention or plan; 'was planning to', 'meant to'.",Verb-casual (dictionary form) + つもりでした,昨日は友達に会うつもりでしたが、風邪を引いてしまいました。,"Kinou wa tomodachi ni au tsumori deshita ga, kaze o hiite shimaimashita.","I was planning to meet my friend yesterday, but I caught a cold.",JLPT N3
～てくれと (〜te kureto),Quote someone's request (telling someone to do something).,"Verb-て form + くれと (言う / 頼む / 伝える, etc.)",電話をかけてくれと言われました。,Denwa o kakete kureto iwaremashita.,I was told to make a phone call.,JLPT N3
～てごらん (〜te goran),Suggest or invite someone to try doing something; 'Why don't you try...'.,Verb-て form + ごらん,そのゲームをやってごらん。,Sono geemu o yatte goran.,Why don't you try playing that game?,JLPT N3
ですから～ (desu kara),"Expresses reason or cause; 'because', 'since', 'so'.",Sentence A + ですから + Sentence B,今日は寒いですから、コートを着てください。,"Kyou wa samui desu kara, kooto o kite kudasai.","It's cold today, so please wear a coat.",JLPT N3
～てはじめて (〜te hajimete),"Realization or action done for the first time; 'only after', 'not until'.",Verb-て form + はじめて,海外に行ってはじめて、日本の良さが分かりました。,"Kaigai ni itte hajimete, Nihon no yosa ga wakarimashita.",Only after going abroad did I realize how great Japan is.,JLPT N3
～てほしい (〜te hoshii),Express a desire for someone else to do something; 'I want you to do...'.,Verb-て form + ほしい,子供にもっと勉強してほしい。,Kodomo ni motto benkyou shite hoshii.,I want my child to study more.,JLPT N3
～ても (〜temo),"'Even if', 'even though', or 'although'.","Verb-て form + も, い-Adjective (～く) + ても, な-Adjective/Noun (～で) + も",雨が降っても、運動会は開催されます。,"Ame ga futte mo, undoukai wa kaisai saremasu.","Even if it rains, the sports festival will be held.",JLPT N3
～といいなあ (〜to ii naa),"Express a wish or hope; 'it would be nice if', 'I hope that'.","Verb-casual + といいなあ, い-Adjective + といいなあ, な-Adjective + だといいなあ, Noun + だといいなあ",明日晴れるといいなあ。,Ashita hareru to ii naa.,I hope it's sunny tomorrow.,JLPT N3
～という (〜to iu),"Used for quoting, defining, or giving an example; 'called', 'that is to say', 'like'.","Noun + という + Noun, Verb-casual + という + Noun, い-Adjective + という + Noun, な-Adjective + という + Noun",本屋で「ハリー・ポッター」という本を買いました。,Hon'ya de 'Harry Potter' to iu hon o kaimashita.,I bought a book called 'Harry Potter' at the bookstore.,JLPT N3
～ということだ (〜to iu koto da),"Express a conclusion or hearsay; 'I heard', 'it means', 'it can be said'.","Verb-casual + ということだ, い-Adjective + ということだ, な-Adjective + だということだ, Noun + だということだ",彼は来週結婚するということだ。,Kare wa raishuu kekkon suru to iu koto da.,I heard that he is getting married next week.,JLPT N3
～というと (〜to iu to),"Used to provide an example or characteristic related to the topic; 'when it comes to', 'speaking of'.",Noun + というと,日本料理というと、寿司が思い浮かぶ。,"Nihon ryouri to iu to, sushi ga omoiukabu.","When it comes to Japanese cuisine, sushi comes to mind.",JLPT N3
～というの～ (〜to iu no〜),Explain or emphasize the reason for a situation or action.,"Verb-casual + というの, い-Adjective + というの, な-Adjective + だというの, Noun + だというの",遅刻したのは、電車が遅れたというのだ。,"Chikoku shita no wa, densha ga okureta to iu no da.",The reason I was late is because the train was delayed.,JLPT N3
～というのは (〜to iu no wa),"Used to provide an explanation or definition; 'that is to say...', 'by that, I mean...'.",Phrase/sentence + というのは + explanation/definition,日本に行くというのは、日本に旅行することです。,"Nihon ni iku to iu no wa, Nihon ni ryokou suru koto desu.","Going to Japan, that is to say, traveling to Japan.",JLPT N3
～というより (〜to iu yori),"Express a comparison with preference; 'rather than', 'more like', 'instead of'.","Verb-casual + というより, い-Adjective + というより, な-Adjective + だというより, Noun + だというより",この部屋は狭いというより、居心地がいい。,"Kono heya wa semai to iu yori, igokochi ga ii.","Rather than saying this room is small, it's more like it's cozy.",JLPT N3
～といっても (〜to ittemo),"Express the meaning 'even though', 'although', 'but'.","Verb-casual + といっても, い-Adjective + といっても, な-Adjective + だといっても, Noun + だといっても",彼は有名だといっても、みんなに知られているわけではありません。,"Kare wa yuumei da to ittemo, minna ni shirarete iru wake de wa arimasen.","Even though he's famous, it doesn't mean everyone knows him.",JLPT N3
～とおり (〜toori),"Expresses that something is done 'as is', 'as stated', or 'as instructed'.","Verb-て form + とおり, Noun + のとおり",先生が言ったとおり、宿題をやりました。,"Sensei ga itta toori, shukudai wo yarimashita.",I did my homework exactly as the teacher said.,JLPT N3
～とく (〜toku),Express doing something in advance or for future convenience (casual form of ～ておく).,"Verb-て form + とく (e.g., 食べておく→食べとく, 読んでおく→読んどく)",夜遅くなるから、今晩のご飯を作っとく。,"Yoru osoku naru kara, konban no gohan wo tsukutoku.","Since it will be late tonight, I'll prepare dinner in advance.",JLPT N3
～ところが (〜tokoro ga),"Expresses a contrast or unexpected outcome; 'however', 'but', 'even though'.",Phrase 1 (expected situation) + ところが + Phrase 2 (unexpected result),彼はいつも遅刻するところが、今日は早く来ました。,"Kare wa itsumo chikoku suru tokoro ga, kyou wa hayaku kimashita.","He's always late, but today he arrived early.",JLPT N3
～ところだった (〜tokoro datta),"Expresses a near miss or a situation that almost happened; 'was just about to', 'almost', 'nearly'.",Verb (dictionary form or ている form) + ところだった,もう少しで遅れるところだった。,Mou sukoshi de okureru tokoro datta.,I was just about to be late.,JLPT N3
ところで (tokorode),"Used for changing the topic or bringing up a new topic; 'by the way', 'speaking of'.",ところで + new topic or question,ところで、昨日の宿題はもう終わりましたか？,"Tokorode, kinou no shukudai wa mou owari mashita ka?","By the way, did you finish yesterday's homework?",JLPT N3
～としたら (〜to shitara),"Express a hypothetical situation; 'if', 'suppose', 'assuming'.","Verb-casual + としたら, い-Adjective + としたら, な-Adjective + だとしたら, Noun + だとしたら",明日雨が降るとしたら、傘を持って行きましょう。,"Ashita ame ga furu to shitara, kasa wo motte ikimashou.","If it rains tomorrow, let's bring an umbrella.",JLPT N3
～として (〜to shite),"Indicates a role, capacity, or identity; 'as', 'in the capacity of'.","Verb-casual + として, い-Adjective + として, な-Adjective + だとして, Noun + だとして",彼は弁護士として働いています。,Kare wa bengoshi to shite hataraite imasu.,He is working as a lawyer.,JLPT N3
～どんなに～ことか (〜donna ni〜koto ka),Expresses the extent of something or emphasizes the degree of a condition or situation.,"どんなに + Adjective + ことか, どんなに + Verb + ことか",どんなに疲れたことか、言葉では表せません。,"Donna ni tsukareta koto ka, kotoba de wa arawasemasen.",I can't put into words how tired I am.,JLPT N3
